DateOccured,MonthReportedtoMSHP,Count,Crime,District,Neighborhood,XCoord,YCoord,TMAX  ,TMIN  
2012-07-23,2012-09,1,266999,4,33,904146.8,1014715.0,411.0,278.0
2012-07-23,2012-09,1,266999,4,35,907619.9,1017799.0,411.0,278.0
2012-07-24,2012-09,1,101000,9,77,897517.4,1022560.0,417.0,294.0
2012-07-25,2012-09,1,112020,6,73,890990.4,1048476.0,422.0,300.0
2012-07-25,2012-09,1,182130,1,1,890063.8,990436.9,422.0,300.0
2012-07-26,2012-09,1,103000,6,74,896806.6,1053061.0,356.0,272.0
2012-07-27,2012-09,1,266999,4,33,903970.3,1014100.0,378.0,244.0
2012-07-27,2012-09,1,266999,4,33,904470.1,1013676.0,378.0,244.0
2012-07-28,2012-09,1,67701,3,25,895522.3,1008760.0,339.0,217.0
2012-07-28,2012-09,1,111120,9,38,888549.0,1024878.0,339.0,217.0
2012-07-28,2012-09,-1,111120,9,38,888549.0,1024878.0,339.0,217.0
2012-07-29,2012-09,1,266999,4,60,903833.6,1023597.0,306.0,222.0
2012-07-30,2012-09,1,266999,4,61,906919.5,1022348.0,300.0,239.0
2012-07-30,2012-09,1,266999,6,76,887701.6,1044511.0,300.0,239.0
2012-07-30,2012-09,1,67701,3,25,896939.3,1010406.0,300.0,239.0
2012-07-30,2012-09,1,115200,2,7,880281.7,1001941.0,300.0,239.0
2012-07-30,2012-09,1,65701,3,30,897209.6,1005669.0,300.0,239.0
2012-08-01,2012-09,1,115100,1,1,892137.9,996088.9,383.0,250.0
2012-08-01,2012-09,1,142320,2,6,881363.9,1000001.0,383.0,250.0
2012-08-01,2012-09,1,69702,1,1,890805.3,996033.8,383.0,250.0
2012-08-01,2012-09,1,179210,6,68,891927.1,1033323.0,383.0,250.0
2012-08-01,2012-09,1,265321,6,70,887564.6,1043980.0,383.0,250.0
2012-08-02,2012-09,1,115400,3,15,892172.8,1005396.0,367.0,244.0
2012-08-02,2012-09,1,266999,3,25,896057.1,1009153.0,367.0,244.0
2012-08-03,2012-09,1,266999,1,2,888545.3,989409.8,361.0,228.0
2012-08-03,2012-09,1,266999,6,71,893628.9,1039688.0,361.0,228.0
